run_id,feature_set,engine,family,config_id,seed,severity_mode,calibration,tail_mapper,rmse_aux_blocked5,rmse_primary_time,rmse_secondary_group,q99_aux_blocked5,q99_primary_time,q99_secondary_group,tail_dispersion_flag,distribution_collapse_flag,rmse_gap_secondary,rmse_gap_aux,rmse_weighted,rmse_split_std,gap_penalty,tail_penalty,selection_score,accepted_secondary,accepted_aux,accepted_tail,accepted_collapse,accepted_dispersion,accepted,decision_reason,rank
base_v2|catboost|two_part_tweedie|cb_v2_c1|42|weighted_tail|isotonic|isotonic,base_v2,catboost,two_part_tweedie,cb_v2_c1,42,weighted_tail,isotonic,isotonic,542.59585890162,543.8979456661581,542.1881680021932,0.2987985290689587,0.328732583506271,0.3126336312411291,0.0,0.0,-1.7097776639649283,-1.3020867645381031,543.3606771186844,0.7291533501301452,0.0,0.671267416493729,545.5857106725164,True,True,True,True,True,True,accepted,1
base_v2|catboost|two_part_tweedie|cb_v2_c1|42|classic|isotonic|isotonic,base_v2,catboost,two_part_tweedie,cb_v2_c1,42,classic,isotonic,isotonic,542.5714348056833,544.0263826535603,542.1705688775697,0.2832929476786524,0.3211175105546817,0.314721112595087,0.0,0.0,-1.8558137759905549,-1.4549478478769515,543.4369777211807,0.7973296755434824,0.0,0.6788824894453183,545.7321812014517,True,True,True,True,True,True,accepted,2
base_v2|catboost|two_part_classic|cb_v2_c1|42|classic|isotonic|isotonic,base_v2,catboost,two_part_classic,cb_v2_c1,42,classic,isotonic,isotonic,542.6706676449976,544.0928281498435,542.083294799253,0.2945035848413014,0.3102396366709968,0.3204851251424863,0.0,0.0,-2.009533350590459,-1.4221605048459196,543.4775974039985,0.843654197760944,0.0,0.6897603633290033,545.8347389606417,True,True,True,True,True,True,accepted,3
base_v2|xgboost|two_part_tweedie|xgb_v2_c1|42|classic|none|isotonic,base_v2,xgboost,two_part_tweedie,xgb_v2_c1,42,classic,none,isotonic,542.8880254191034,544.3227452527673,542.2893589806939,0.2880821724882883,0.3305938151844151,0.2933076440041856,0.0,0.0,-2.0333862720733578,-1.4347198336638485,543.700860023303,0.8531954470005838,0.0,0.6694061848155849,546.0142720705924,True,True,True,True,True,True,accepted,4
base_v2|lightgbm|two_part_classic|lgb_v2_c1|42|classic|isotonic|isotonic,base_v2,lightgbm,two_part_classic,lgb_v2_c1,42,classic,isotonic,isotonic,543.1217712812227,544.3510925714878,542.7256697182769,0.2856936232444078,0.33607477660934,0.3112267277768236,0.0,0.0,-1.625422853210921,-1.2293212902651476,543.8416098073059,0.6920281573115025,0.0,0.6639252233906601,546.0204439837661,True,True,True,True,True,True,accepted,5
base_v2|xgboost|two_part_tweedie|xgb_v2_c1|42|classic|isotonic|isotonic,base_v2,xgboost,two_part_tweedie,xgb_v2_c1,42,classic,isotonic,isotonic,542.8832106847439,544.3360710606743,542.3949515311924,0.2880821724882883,0.3305938151844151,0.2933076440041856,0.0,0.0,-1.9411195294818526,-1.4528603759304133,543.7299180983883,0.8244287787250892,0.0,0.6694061848155849,546.0217551444711,True,True,True,True,True,True,accepted,6
base_v2|xgboost|two_part_classic|xgb_v2_c1|42|classic|isotonic|isotonic,base_v2,xgboost,two_part_classic,xgb_v2_c1,42,classic,isotonic,isotonic,542.8779047108525,544.3182363896651,542.482880572178,0.3023416076922856,0.319171455205419,0.3365514447789821,0.0,0.0,-1.835355817487084,-1.4403316788126403,543.7351154743458,0.788749389287343,0.0,0.680828544794581,546.0287488782977,True,True,True,True,True,True,accepted,7
base_v2|xgboost|two_part_classic|xgb_v2_c1|42|weighted_tail|isotonic|isotonic,base_v2,xgboost,two_part_classic,xgb_v2_c1,42,weighted_tail,isotonic,isotonic,542.8421088776453,544.3151780976076,542.4130557010899,0.2837105095174301,0.3144374963446538,0.3021688312828323,0.0,0.0,-1.9021223965177114,-1.4730692199623263,543.7137932353098,0.814595275543967,0.0,0.6855625036553462,546.0386459511062,True,True,True,True,True,True,accepted,8
base_v2|xgboost|two_part_classic|xgb_v2_c1|42|weighted_tail|none|isotonic,base_v2,xgboost,two_part_classic,xgb_v2_c1,42,weighted_tail,none,isotonic,542.8544021982749,544.3111472220197,542.3079560826437,0.2837105095174301,0.3144374963446538,0.3021688312828323,0.0,0.0,-2.0031911393759856,-1.4567450237448156,543.6919972405829,0.8454771277784275,0.0,0.6855625036553462,546.0400113455551,True,True,True,True,True,True,accepted,9
base_v2|xgboost|two_part_classic|xgb_v2_c1|42|classic|none|isotonic,base_v2,xgboost,two_part_classic,xgb_v2_c1,42,classic,none,isotonic,542.8865067322171,544.3307948241286,542.384332284749,0.3023416076922856,0.319171455205419,0.3365514447789821,0.0,0.0,-1.9464625393795814,-1.4442880919115169,543.724859102466,0.8250834089374961,0.0,0.680828544794581,546.0457430211555,True,True,True,True,True,True,accepted,10
base_v2|lightgbm|two_part_tweedie|lgb_v2_c1|42|classic|isotonic|isotonic,base_v2,lightgbm,two_part_tweedie,lgb_v2_c1,42,classic,isotonic,isotonic,543.0686295679187,544.3750583777222,542.7691550056361,0.2900825278822293,0.3016862631957932,0.3546750128692332,0.0,0.0,-1.605903372086118,-1.3064288098034922,543.8579133818345,0.6972459225821184,0.0,0.6983137368042067,546.1266321657816,True,True,True,True,True,True,accepted,11
